PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,HSICCD,CUSIP,DLPRC,DLRET,PRC,RET,SHROUT,CFACPR,CFACSHR,sprtrn
10107,1998-01-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,149.1875,0.154255,1207000.0,8.0,8.0,0.01015
10107,1998-02-27,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,84.75,0.136154,2414000.0,4.0,4.0,0.070449
10107,1998-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,89.5,0.056047,2464072.0,4.0,4.0,0.049946
10107,1998-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,90.125,0.006983,2464072.0,4.0,4.0,0.009076
10107,1998-05-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,84.8125,-0.058946,2464072.0,4.0,4.0,-0.018826
10107,1998-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,108.375,0.277819,2484636.0,4.0,4.0,0.039438
10107,1998-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,109.9375,0.014418,2484636.0,4.0,4.0,-0.011615
10107,1998-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,95.9375,-0.127345,2484636.0,4.0,4.0,-0.145797
10107,1998-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,110.0625,0.147231,2488000.0,4.0,4.0,0.062396
10107,1998-10-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,105.875,-0.038047,2493567.0,4.0,4.0,0.080294
10107,1998-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,122.0,0.152302,2493567.0,4.0,4.0,0.059126
10107,1998-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,138.6875,0.136783,2470000.0,4.0,4.0,0.056375
10107,1999-01-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,175.0,0.261830,2523459.0,4.0,4.0,0.041009
10107,1999-02-26,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,150.125,-0.142143,2523459.0,4.0,4.0,-0.032283
10107,1999-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,89.625,0.194005,5046918.0,2.0,2.0,0.038794
10107,1999-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,81.3125,-0.092748,5046918.0,2.0,2.0,0.037944
10107,1999-05-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,80.6875,-0.007686,5046918.0,2.0,2.0,-0.02497
10107,1999-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,90.1875,0.117738,5141508.0,2.0,2.0,0.054438
10107,1999-07-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,85.8125,-0.048510,5141508.0,2.0,2.0,-0.032046
10107,1999-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,92.5625,0.078660,5141508.0,2.0,2.0,-0.006254
10107,1999-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,90.5625,-0.021607,5160025.0,2.0,2.0,-0.028552
10107,1999-10-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,92.5625,0.022084,5160025.0,2.0,2.0,0.062539
10107,1999-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,91.04688,-0.016374,5160025.0,2.0,2.0,0.019062
10107,1999-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,116.75,0.282306,5160025.0,2.0,2.0,0.057844
10107,2000-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,97.875,-0.161670,5160025.0,2.0,2.0,-0.050904
10107,2000-02-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,89.375,-0.086845,5160025.0,2.0,2.0,-0.020108
10107,2000-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,106.25,0.188811,5242000.0,2.0,2.0,0.09672
10107,2000-04-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,69.75,-0.343529,5262405.0,2.0,2.0,-0.030796
10107,2000-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,62.5625,-0.103047,5262405.0,2.0,2.0,-0.021915
10107,2000-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,80.0,0.278721,5262405.0,2.0,2.0,0.023934
10107,2000-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,69.8125,-0.127344,5262405.0,2.0,2.0,-0.016341
10107,2000-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,69.8125,0.000000,5262405.0,2.0,2.0,0.060699
10107,2000-09-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,60.3125,-0.136079,5332338.0,2.0,2.0,-0.053483
10107,2000-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,68.875,0.141969,5332338.0,2.0,2.0,-0.004949
10107,2000-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,57.375,-0.166969,5332338.0,2.0,2.0,-0.080069
10107,2000-12-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,43.375,-0.244009,5332338.0,2.0,2.0,0.004053
10107,2001-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,61.0625,0.407781,5335391.0,2.0,2.0,0.034637
10107,2001-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,59.0,-0.033777,5335391.0,2.0,2.0,-0.092291
10107,2001-03-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,54.6875,-0.073093,5336000.0,2.0,2.0,-0.064205
10107,2001-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,67.75,0.238857,5382102.0,2.0,2.0,0.076814
10107,2001-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,69.18,0.021107,5382102.0,2.0,2.0,0.00509
10107,2001-06-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,73.0,0.055218,5383000.0,2.0,2.0,-0.025004
10107,2001-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,66.19,-0.093288,5383000.0,2.0,2.0,-0.010772
10107,2001-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,57.05,-0.138087,5383000.0,2.0,2.0,-0.064108
10107,2001-09-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,51.17,-0.103068,5386000.0,2.0,2.0,-0.081723
10107,2001-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,58.15,0.136408,5386000.0,2.0,2.0,0.018099
10107,2001-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,64.21,0.104213,5386000.0,2.0,2.0,0.075176
10107,2001-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,66.25,0.031771,5403000.0,2.0,2.0,0.007574
10107,2002-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,63.71,-0.038340,5415222.0,2.0,2.0,-0.015574
10107,2002-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,58.34,-0.084288,5416007.0,2.0,2.0,-0.020766
10107,2002-03-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,60.31,0.033768,5415463.0,2.0,2.0,0.036739
10107,2002-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,52.26,-0.133477,5415463.0,2.0,2.0,-0.061418
10107,2002-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,50.91,-0.025832,5415463.0,2.0,2.0,-0.009081
10107,2002-06-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,54.7,0.074445,5359000.0,2.0,2.0,-0.072465
10107,2002-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,47.98,-0.122852,5378747.0,2.0,2.0,-0.078995
10107,2002-08-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,49.08,0.022926,5378747.0,2.0,2.0,0.004881
10107,2002-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,43.74,-0.108802,5346450.0,2.0,2.0,-0.110013
10107,2002-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,53.47,0.222451,5346450.0,2.0,2.0,0.086436
10107,2002-11-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,57.68,0.078736,5346450.0,2.0,2.0,0.05707
10107,2002-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,51.7,-0.103675,5350693.0,2.0,2.0,-0.060333
10107,2003-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,47.46,-0.082012,5350693.0,2.0,2.0,-0.027415
10107,2003-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.7,0.002107,10701386.0,1.0,1.0,-0.017004
10107,2003-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.21,0.021519,10722000.0,1.0,1.0,0.008358
10107,2003-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.56,0.055762,10736261.0,1.0,1.0,0.081044
10107,2003-05-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.61,-0.037167,10736261.0,1.0,1.0,0.050899
10107,2003-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.64,0.041853,10718000.0,1.0,1.0,0.011322
10107,2003-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.41,0.030031,10718000.0,1.0,1.0,0.016224
10107,2003-08-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.52,0.004165,10813985.0,1.0,1.0,0.017873
10107,2003-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.8,0.048265,10805000.0,1.0,1.0,-0.011944
10107,2003-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.14,-0.053957,10812469.0,1.0,1.0,0.054962
10107,2003-11-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.71,-0.016450,10812469.0,1.0,1.0,0.007129
10107,2003-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.37,0.064566,10789000.0,1.0,1.0,0.050765
10107,2004-01-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.65,0.010230,10794393.0,1.0,1.0,0.017276
10107,2004-02-27,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.53,-0.040506,10794393.0,1.0,1.0,0.012209
10107,2004-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.93,-0.060309,10777000.0,1.0,1.0,-0.016359
10107,2004-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.13,0.048135,10794693.0,1.0,1.0,-0.016791
10107,2004-05-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.23,0.003827,10794693.0,1.0,1.0,0.012083
10107,2004-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.56,0.088830,10862000.0,1.0,1.0,0.017989
10107,2004-07-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.49,-0.002451,10862000.0,1.0,1.0,-0.034291
10107,2004-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.3,-0.038961,10872705.0,1.0,1.0,0.002287
10107,2004-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.65,0.012821,10865000.0,1.0,1.0,0.009364
10107,2004-10-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.97,0.011573,10871590.0,1.0,1.0,0.014014
10107,2004-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.81,0.068645,10872705.0,1.0,1.0,0.038595
10107,2004-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.72,-0.003357,10880222.0,1.0,1.0,0.032458
10107,2005-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.28,-0.016467,10880222.0,1.0,1.0,-0.02529
10107,2005-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.16,-0.039574,10880222.0,1.0,1.0,0.018903
10107,2005-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.17,-0.039348,10804353.0,1.0,1.0,-0.019118
10107,2005-04-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.3,0.046752,10804353.0,1.0,1.0,-0.020109
10107,2005-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.8,0.022925,10804353.0,1.0,1.0,0.029952
10107,2005-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.84,-0.037209,10710000.0,1.0,1.0,-0.000143
10107,2005-07-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.61,0.030998,10710000.0,1.0,1.0,0.035968
10107,2005-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.38,0.072237,10712706.0,1.0,1.0,-0.011222
10107,2005-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.73,-0.060263,10644674.0,1.0,1.0,0.006949
10107,2005-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.7,-0.001166,10644674.0,1.0,1.0,-0.017741
10107,2005-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.68,0.080156,10644674.0,1.0,1.0,0.035186
10107,2005-12-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.15,-0.055275,10333369.0,1.0,1.0,-0.000952
10107,2006-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.15,0.076482,10333369.0,1.0,1.0,0.025467
10107,2006-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.87,-0.042273,10333369.0,1.0,1.0,0.000453
10107,2006-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.21,0.012653,10225000.0,1.0,1.0,0.011065
10107,2006-04-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.15,-0.112459,10201203.0,1.0,1.0,0.012187
10107,2006-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,22.65,-0.058385,10201203.0,1.0,1.0,-0.030917
10107,2006-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.3,0.028698,10062000.0,1.0,1.0,8.7e-05
10107,2006-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.06,0.032618,10062000.0,1.0,1.0,0.005086
10107,2006-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.7,0.071904,9969992.0,1.0,1.0,0.021274
10107,2006-09-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.35,0.064202,9820000.0,1.0,1.0,0.024566
10107,2006-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.71,0.049726,9830460.0,1.0,1.0,0.031508
10107,2006-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.36,0.026123,9830460.0,1.0,1.0,0.016467
10107,2006-12-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.86,0.017030,9777000.0,1.0,1.0,0.012616
10107,2007-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,30.86,0.033490,9792314.0,1.0,1.0,0.014059
10107,2007-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.17,-0.083927,9792314.0,1.0,1.0,-0.021846
10107,2007-03-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.87,-0.010650,9572000.0,1.0,1.0,0.00998
10107,2007-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.94,0.074273,9566808.0,1.0,1.0,0.043291
10107,2007-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,30.6901,0.028393,9566808.0,1.0,1.0,0.032549
10107,2007-06-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.47,-0.039756,9380000.0,1.0,1.0,-0.017816
10107,2007-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.99,-0.016288,9380000.0,1.0,1.0,-0.031982
10107,2007-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.73,-0.005519,9375492.0,1.0,1.0,0.012864
10107,2007-09-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.46,0.025409,9355000.0,1.0,1.0,0.035794
10107,2007-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,36.81,0.249491,9355439.0,1.0,1.0,0.014822
10107,2007-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,33.6,-0.084216,9355439.0,1.0,1.0,-0.044043
10107,2007-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,35.6,0.059524,9329000.0,1.0,1.0,-0.008628
10107,2008-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,32.6,-0.084270,9306980.0,1.0,1.0,-0.061163
10107,2008-02-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.1999,-0.162273,9306980.0,1.0,1.0,-0.034761
10107,2008-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.38,0.043386,9310000.0,1.0,1.0,-0.00596
10107,2008-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.52,0.004933,9313293.0,1.0,1.0,0.047547
10107,2008-05-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.32,-0.003156,9313293.0,1.0,1.0,0.010674
10107,2008-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.51,-0.028602,9151000.0,1.0,1.0,-0.085962
10107,2008-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.72,-0.065067,9130293.0,1.0,1.0,-0.009859
10107,2008-08-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.29,0.065319,9130293.0,1.0,1.0,0.012191
10107,2008-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.69,-0.021986,8977000.0,1.0,1.0,-0.090791
10107,2008-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,22.33,-0.163357,8895573.0,1.0,1.0,-0.169425
10107,2008-11-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,20.22,-0.088670,8895573.0,1.0,1.0,-0.074849
10107,2008-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,19.44,-0.038576,8889000.0,1.0,1.0,0.007822
10107,2009-01-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,17.1,-0.120370,8890563.0,1.0,1.0,-0.085657
10107,2009-02-27,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,16.15,-0.047953,8890563.0,1.0,1.0,-0.109931
10107,2009-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,18.37,0.137461,8898000.0,1.0,1.0,0.085405
10107,2009-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,20.26,0.102885,8899720.0,1.0,1.0,0.093925
10107,2009-05-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,20.89,0.037512,8899720.0,1.0,1.0,0.053081
10107,2009-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.77,0.137865,8908000.0,1.0,1.0,0.000196
10107,2009-07-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.52,-0.010517,8910674.0,1.0,1.0,0.074142
10107,2009-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.65,0.053571,8910674.0,1.0,1.0,0.03356
10107,2009-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.72,0.043408,8900000.0,1.0,1.0,0.035723
10107,2009-10-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.73,0.078149,8879121.0,1.0,1.0,-0.019762
10107,2009-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.41,0.065272,8879121.0,1.0,1.0,0.057364
10107,2009-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,30.48,0.036382,8811000.0,1.0,1.0,0.017771
10107,2010-01-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.18,-0.075459,8770461.0,1.0,1.0,-0.036974
10107,2010-02-26,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,28.67,0.022001,8770461.0,1.0,1.0,0.028514
10107,2010-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,29.2875,0.021538,8762000.0,1.0,1.0,0.058796
10107,2010-04-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,30.535,0.042595,8763839.0,1.0,1.0,0.014759
